Тема,Описание,Тип оборудования,Точка отказа,Серийный номер
Низкая скорость по SFP D252120808,Низкая скорость сети через SFP на сервере СР2-5422 (D252120808).,Сервер,SFP модуль,D252120808
Замена Wi-Fi антенны C223021333,Требуется замена Wi-Fi антенны на ноутбуке HK2-1404 (C223021333).,Ноутбук,Wi-fi антенна,C223021333
Пропал Wi-Fi // C223111555,На ноутбуке НК2-3404 (C223111555) пропал Wi-Fi.,Ноутбук,Wi-fi модуль,C223111555
АКБ C223107555,Аккумулятор на ноутбуке НК2-1404 v2 (C223107555) не заряжается.,Ноутбук,Аккумулятор,C223107555
Ремонт блока питания C111130999,Возможен ли ремонт блока питания от ноутбука HK1-1427 (C111130999)?,Ноутбук,Блок питания,C111130999
Очистка системы охлаждения C223021444,Требуется чистка системы охлаждения на ноутбуке HK2-1404 (C223021444).,Ноутбук,Вентилятор,C223021444
Треск в динамиках C223111666,Слышен треск в динамиках на ноутбуке НК2-3404 (C223111666).,Ноутбук,Динамики,C223111666
Замена диска в сервере D252120909,Требуется замена диска в сервере СР2-5422 (D252120909).,Сервер,Диск,D252120909
Сломан Jack 3.5мм C112051111,В аудио-разъеме ноутбука HK1-1425 (C112051111) обломился штекер.,Ноутбук,Jack,C112051111
Камера не найдена C222100888,"Приложение ""Камера"" пишет, что камера не найдена. Ноутбук НК2-1404 (C222100888).",Ноутбук,Камера,C222100888
Замена клавиатуры // C223107666,Требуется замена клавиатуры на ноутбуке НК2-1404 v2 (C223107666).,Ноутбук,Клавиатура,C223107666
Консультация по установке ОС C223021555,"Не могу установить ОС на ноутбук HK2-1404 (C223021555), не видит диск.",Ноутбук,Консультация,C223021555
Ремонт корпуса C223111777,Нужен ремонт корпуса ноутбука НК2-3404 (C223111777).,Ноутбук,Корпус,C223111777
Синий экран // C111131111,Ноутбук HK1-1427 (C111131111) постоянно показывает синий экран.,Ноутбук,Материнская плата,C111131111
Белый экран C223107777,При включении ноутбука НК2-1404 v2 (C223107777) экран светится белым.,Ноутбук,Матрица,C223107777
